Carimbo de data/hora,Possui alguma tatuagem?,Qual sua faixa etária?,Qual seu sexo?,Em qual cidade mora?,Qual seu passatempo favorito?,Estilo musical preferido,Razão ou emoção?,"Defina o momento atual da sua vida com um adjetivo. Exemplos: chato, decisivo, conturbado, sensacional...",Qual a sua motivação para fazer a PRIMEIRA tatuagem?,Qual o significado da sua PRIMEIRA tatuagem?,Quantas tatuagens você possui? (Responda apenas o número.),Em que lugar do corpo foi feita a sua PRIMEIRA tatuagem?,Com que idade você fez sua PRIMEIRA tatuagem?(Apenas o número.),Em que ano foi feita a PRIMEIRA tatuagem?,"Quanto custou, em reais, sua tatuagem mais cara?","Considerando os tamanhos da sua mão inteira(grande), só da palma(média) e só do dedo 'mindinho'(pequena), qual o tamanho da sua primeira tatuagem?",Você prefere tatuagens com desenhos ou textos?,Sofreu ou sofre algum tipo de discriminação por ter tatuagem?,"Acredita que há preconceito, no mercado de trabalho, com as pessoas que possuem tatuagem?",Já cobriu ou pensou em cobrir alguma das suas tatuagens? Por quê? ,Já removeu ou pensou em remover alguma das suas tatuagens? Por quê?,Você preza pelo estúdio de tatuagem?,Você escolhe o tamanho da tatuagem pelo preço que irá pagar? ,Faz diferença ter um número ímpar ou par de tatuagens? ,"Se fazer tatuagem fosse de graça, você faria mais? "
2019/12/04 1:23:49 AM GMT-3,Sim,27 - 35 anos,Masculino,Rio de Janeiro,Tocar instrumento musical,ROCK,Razão,Procrastinador ,Paixão por esportes/animais/símbolos,A tatuagem possui um significado de identificação pessoal,1,Perna,19,2009,30,Grande,Desenhos,Não,Sim,Sim. Insatisfação com o resultado.,Sim. Insatisfação com o resultado.,Sim,Não,Não,Sim
2019/12/04 2:00:29 AM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Assistir televisão,MPB,Razão,Inconsistente,Coisas da sua infância (desenhos/filmes/outros),Simbologia,10,Parte frontal do tronco,16,2006,250,Pequena,Indiferente,Não,Talvez,Sim. Insatisfação com o resultado.,Sim. Insatisfação com o resultado.,Sim,Sim,"Sim, prefiro ímpar",Sim
2019/12/04 7:40:40 AM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Navegar em redes sociais,MPB,Razão,Complicado ,Ornamentar ou decorar o corpo,A tatuagem possui um significado de identificação pessoal,5,Região íntima,18,2006,150,Pequena,Indiferente,Não,Sim,Sim. Insatisfação com o resultado.,Sim. Insatisfação com o resultado.,Sim,Sim,Não,Sim
2019/12/04 10:17:46 AM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Ler,ROCK,Emoção,Conturbado,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,16,Nuca,19,2010,250,Média,Indiferente,Não,Talvez,Sim. Insatisfação com o resultado.,Não,Sim,Sim,Não,Sim
2019/12/04 10:27:14 AM GMT-3,Sim,27 - 35 anos,Feminino,Rio de Janeiro,Assistir televisão,MPB,Emoção,Feliz,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,4,Costas,21,2009,1000,Média,Textos,Não,Sim,Não,Não,Sim,Sim,Não,Sim
2019/12/04 10:31:07 AM GMT-3,Sim,27 - 35 anos,Masculino,Rio de Janeiro,Jogos,ROCK,Os dois em igualdade,Movimentado ,Paixão por esportes/animais/símbolos,A tatuagem possui um significado de identificação pessoal,1,Braço,27,2018,700,Muito maior que a sua mão,Desenhos,Não,Talvez,Não,Não,Sim,Não,"Sim, prefiro ímpar",Sim
2019/12/04 10:47:28 AM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Jogos,ROCK,Os dois em igualdade,Difícil,Paixão por esportes/animais/símbolos,Simbologia,1,Perna,26,2018,50,Média,Desenhos,Não,Talvez,Não,Não,Sim,Sim,Não,Não
2019/12/04 11:35:31 AM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Estudar,ROCK,Razão,Decisivo,Inspiração em alguém que possui uma igual,Fé,4,Braço,25,2015,1600,Grande,Desenhos,Não,Sim,Não,Não,Sim,Não,Não,Não
2019/12/04 11:58:42 AM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Praticar esportes,SERTANEJO,Os dois em igualdade,Sensacional,Ornamentar ou decorar o corpo,Simbologia,3,Costas,21,2011,150,Muito maior que a sua mão,Indiferente,Não,Talvez,Não,Não,Sim,Não,Não,Sim
2019/12/04 12:15:02 PM GMT-3,Sim,27 - 35 anos,Feminino,São Gonçalo,Todos acima,Eclético,Os dois em igualdade,Decisivo,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,1,Ombro,21,2013,250,Média,Desenhos,Não,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/04 12:40:52 PM GMT-3,Sim,27 - 35 anos,Feminino,São Gonçalo,Assistir televisão,ROCK,Razão,Frustrante ,Motivação momentânea,A tatuagem possui um significado de identificação pessoal,5,Costas,17,2007,550,Média,Indiferente,Sim,Talvez,Sim. Insatisfação com o resultado.,Sim. Insatisfação com o resultado.,Sim,Não,Não,Não
2019/12/04 5:20:50 PM GMT-3,Sim,27 - 35 anos,Masculino,São Gonçalo,Praticar esportes,ROCK,Os dois em igualdade,Sensacional ,Registrar como um marco sobre um momento importante da sua vida,A tatuagem possui um significado de identificação pessoal,4,Braço,29,2018,500,Grande,Desenhos,Não,Sim,Não,Não,Sim,Sim,Não,Sim
2019/12/04 5:28:36 PM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Jogos,ROCK,Razão,Monótono,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,9,Costela,21,2013,1100,Grande,Desenhos,Não,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/04 6:44:50 PM GMT-3,Sim,27 - 35 anos,Masculino,São Gonçalo,Praticar esportes,ROCK,Os dois em igualdade,Conturbado,Paixão por esportes/animais/símbolos,Meu time ,1,Perna,27,2019,400,Grande,Indiferente,Não,Talvez,Não,Não,Sim,Sim,Não,Sim
2019/12/04 7:02:26 PM GMT-3,Sim,27 - 35 anos,Masculino,Rio de Janeiro,Praticar esportes,Rap,Os dois em igualdade,Cansativo,Registrar como um marco sobre um momento importante da sua vida,Simbologia,1,Braço,22,2014,100,Pequena,Desenhos,Não,Talvez,Sim. Quis aperfeiçoar.,Não,Sim,Não,Não,Sim
2019/12/04 7:23:32 PM GMT-3,Sim,27 - 35 anos,Masculino,São Gonçalo,Passeios,Eletrônico ,Os dois em igualdade,Agitado,Registrar como um marco sobre um momento importante da sua vida,Parceria afetiva com alguém,4,Braço,24,2015,300,Pequena,Indiferente,Não,Sim,Não,Não,Sim,Sim,Não,Sim
2019/12/04 7:37:50 PM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Andar de Moto,ROCK,Emoção,Conturbado,Paixão por esportes/animais/símbolos,A tatuagem possui um significado de identificação pessoal,32,Braço,22,2014,500,Muito maior que a sua mão,Desenhos,Sim,Talvez,Sim. Quis aperfeiçoar.,Não,Sim,Não,Não,Sim
2019/12/04 9:56:18 PM GMT-3,Sim,27 - 35 anos,Masculino,São Gonçalo,Ouvir música,Jazz,Razão,Evolutivo,Coisas da sua infância (desenhos/filmes/outros),A tatuagem possui um significado de identificação pessoal,4,Parte frontal do tronco,29,2014,600,Pequena,Desenhos,Não,Sim,Não,Sim. Insatisfação com o resultado.,Sim,Não,Não,Sim
2019/12/04 11:59:22 PM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Navegar em redes sociais,ROCK,Os dois em igualdade,Decisivo,Ornamentar ou decorar o corpo,Nenhum significado ,15,Braço,29,2016,2000,Pequena,Desenhos,Não,Talvez,Sim. Arrependimento.,Sim. Arrependimento.,Sim,Sim,Não,Sim
2019/12/05 11:41:23 AM GMT-3,Sim,27 - 35 anos,Masculino,São Gonçalo,Praticar esportes,ROCK,Os dois em igualdade,Decisivo,Sentimento ou homenagem por uma pessoa querida,Parceria afetiva com alguém,1,Costela,20,2007,300,Muito maior que a sua mão,Indiferente,Não,Não,Não,Não,Sim,Não,Não,Não
